item,EUROC,UZH_FPV,compatible,fixed_conversion_required,target_fitted_information_required,severity,evidence,recommendation
sample rate,documented 200 Hz; measured median 200.0025600325937,documented 500 Hz; measured ~500 Hz,COMPARABLE_AFTER_FUTURE_RESAMPLING,YES_FUTURE_DECIMATION_OR_RESAMPLE,NO,INFO,DERIVED_FROM_RAW_TIMESTAMPS,Stage 0C reports feasibility only; do not resample now
timestamps,uint64 nanoseconds typical ASL,seconds in imu.txt (Stage-0 audit),DOCUMENTED_FIXED_CONVERSION,YES_TO_SECONDS,NO,INFO,headers + official MATLAB t/1e9,convert by documented factors only
GT availability,YES for downloaded Vicon sequences,YES for retained public-GT Snapdragon sequences,YES,NO,NO,INFO,VERIFIED_FROM_RAW_FILE,"use for segmentation and pose-reference characterization, not as IMU labels"
GT type,Vicon 6-DoF pose + postprocessed state estimate,Leica position + IMU-aided batch pose,BOTH_REFERENCE_TRAJECTORIES_NOT_IDENTICAL_INSTRUMENTS,NO,NO,INFO,VERIFIED_FROM_DATASET_PAPER; VERIFIED_FROM_RAW_FILE,do not call either DIRECT IMU MEASUREMENT
GT frame,R world; p_RS_R q_RS,dataset world / Leica-related pose (Stage-0 GT audit),NOT_THE_SAME_WORLD_FRAME,NO_CROSS_DATASET_WORLD_TF,NO,INFO,no official EuRoC-UZH world registration,do not align worlds by fitting target trajectories
GT overlap,per-sequence overlap_duration_s in EUROC_GROUND_TRUTH_AUDIT.csv,Stage-0 USABLE_PRIMARY overlap >= 20 s,YES_IF_PRIMARY_RULES_HOLD,NO,NO,INFO,DERIVED_FROM_RAW_TIMESTAMPS,keep 20 s overlap rule
sequence independence,separate flights; shared Firefly + room groups,separate numbered flights; indoor_forward / indoor_45 / outdoor groups,RECORDING_IS_INFERENTIAL_UNIT,NO,NO,INFO,PROTOCOL.md,do not treat windows as independent units
future resampling feasibility,200 Hz class supports 100 Hz integer decimation after anti-alias design,500 Hz to 100 Hz is 5:1; 500 to 200 is 5:2 rational,FEASIBLE_IN_PRINCIPLE,YES_LATER,NO,INFO,rate audit; no implementation in Stage 0C,design anti-alias in a later authorized stage
zero-shot scaling feasibility,SI units documented,SI units documented,YES_WITHOUT_TARGET_TEST_SCALER,NO,NO,INFO,unit audit,forbid target-test mean/std or min/max
frame standardization feasibility,T_BS fixed from YAML,no official vehicle-body CAD transform,NOT_FOR_A_SHARED_VEHICLE_BODY,PARTIAL,NO,MAJOR,FRAME audits,do not learn a cross-dataset rotation; native frames or invariant scalars
specific-force magnitude feasibility,||f|| from a_RS_S if specific force,||f|| from lin_acc_* if specific force,YES_ROTATION_INVARIANT_UNDER_ORTHONORMAL_R,NO,NO,INFO,same SI specific-force interpretation,scientifically valid but loses direction; do not choose only for compatibility
3-axis specific-force feasibility,native S 3-axis,native S 3-axis,SAME_QUANTITY_DIFFERENT_AXES,NO_IF_NATIVE_FRAMES_RETAINED,NO,MAJOR,IMU audits,defensible if axes are not claimed identical
angular-rate feasibility,w_RS_S 3-axis rad/s,ang_vel_* 3-axis rad/s,SAME_QUANTITY_DIFFERENT_AXES,NO_IF_NATIVE_FRAMES_RETAINED,NO,INFO,IMU audits,same caveats as 3-axis specific force
primary study suitability,Vicon Phase A if USABLE_PRIMARY,8 retained Snapdragon if hashes PASS,YES_IF_DECISION_NOT_FAIL,NO,NO,INFO,usability CSVs,do not equalize session counts
OVERALL_CLASSIFICATION,see rows above,see rows above,COMPARABLE_FOR_SELECTED_QUANTITIES_ONLY,DOCUMENTED_FIXED_ONLY,NO,INFO,Stage 0C compatibility matrix,COMPARABLE_FOR_SELECTED_QUANTITIES_ONLY
